age_group,sex,education,income_group,race_group,obesity_rate,n,reliable
40-44,Female,Did not graduate high school,15k-25k,NHOPI,0.9359783133575666,3,0
65-69,Female,Did not graduate high school,15k-25k,NHOPI,0.8336207129710177,3,0
50-54,Female,Did not graduate high school,100k-200k,NH-Black,0.1615583509945799,3,0
65-69,Male,Did not graduate high school,35k-50k,NHOPI,0.0977077188908289,3,0
35-39,Female,Graduated college or technical school,25k-35k,NHOPI,0.3087288646582641,3,0
70-74,Male,Did not graduate high school,50k-100k,Asian,0.9197842975366924,3,0
25-29,Female,Graduated high school,200k+,Hispanic,0.1710182903499119,3,0
45-49,Male,Did not graduate high school,<15k,NHOPI,0.9013987703126092,3,0
40-44,Female,Did not graduate high school,25k-35k,Asian,0.0,3,0
75-79,Female,Attended college or technical school,200k+,Hispanic,0.1096186726917466,3,0
18-24,Male,Did not graduate high school,<15k,Asian,0.0,3,0
75-79,Female,Attended college or technical school,200k+,Other/Multiracial,0.0,3,0
25-29,Male,Attended college or technical school,200k+,NHOPI,0.5123585623467077,3,0
80+,Male,Attended college or technical school,100k-200k,NHOPI,0.0,3,0
75-79,Female,Attended college or technical school,200k+,Asian,0.8672952030854589,3,0
25-29,Female,Attended college or technical school,<15k,NHOPI,0.4863377787259351,3,0
70-74,Male,Attended college or technical school,<15k,NHOPI,0.0,3,0
55-59,Male,Graduated college or technical school,<15k,NHOPI,0.6266800970676195,3,0
35-39,Female,Did not graduate high school,200k+,Other/Multiracial,0.1141844633474011,3,0
25-29,Male,Did not graduate high school,100k-200k,Asian,0.3986348119535291,3,0
40-44,Female,Graduated college or technical school,<15k,NHOPI,0.3881089758063818,3,0
80+,Female,Attended college or technical school,200k+,AIAN,0.0,3,0
25-29,Female,Did not graduate high school,25k-35k,NHOPI,0.0,3,0
80+,Female,Attended college or technical school,200k+,Other/Multiracial,0.0347232641808901,3,0
80+,Male,Attended college or technical school,<15k,Asian,0.0,3,0
70-74,Male,Did not graduate high school,15k-25k,Asian,0.0,3,0
