age,sex,race,education,income,weight,year,prop
25-29,Female,Asian,Attended college or technical school,100k-200k,66753,2020,0.00027206200292761426
25-29,Female,Asian,Attended college or technical school,15k-25k,17355,2020,7.073294175256161e-05
25-29,Female,Asian,Attended college or technical school,200k+,21304,2020,8.682769179467431e-05
25-29,Female,Asian,Attended college or technical school,25k-35k,22705,2020,9.253768035101766e-05
25-29,Female,Asian,Attended college or technical school,35k-50k,34224,2020,0.00013948511659692703
25-29,Female,Asian,Attended college or technical school,50k-100k,104492,2020,0.00042587303656633065
25-29,Female,Asian,Attended college or technical school,<15k,17138,2020,6.984852525239994e-05
25-29,Female,Asian,Did not graduate high school,100k-200k,8463,2020,3.4492243506305324e-05
25-29,Female,Asian,Did not graduate high school,15k-25k,4886,2020,1.991363603589836e-05
25-29,Female,Asian,Did not graduate high school,200k+,2781,2020,1.1334388419122665e-05
25-29,Female,Asian,Did not graduate high school,25k-35k,5583,2020,2.2754365531809363e-05
25-29,Female,Asian,Did not graduate high school,35k-50k,7049,2020,2.8729271472993766e-05
25-29,Female,Asian,Did not graduate high school,50k-100k,15469,2020,6.304626194009655e-05
25-29,Female,Asian,Did not graduate high school,<15k,6361,2020,2.5925222845753064e-05
25-29,Female,Asian,Graduated college or technical school,100k-200k,242375,2020,0.0009878361715515483
25-29,Female,Asian,Graduated college or technical school,15k-25k,21788,2020,8.880030739872154e-05
